face_index,label_id,label
0,1,renal_pelvis
1,1,renal_pelvis
2,1,renal_pelvis
3,1,renal_pelvis
4,1,renal_pelvis
5,1,renal_pelvis
6,1,renal_pelvis
7,1,renal_pelvis
8,1,renal_pelvis
9,1,renal_pelvis
10,1,renal_pelvis
11,1,renal_pelvis
12,1,renal_pelvis
13,1,renal_pelvis
14,1,renal_pelvis
15,1,renal_pelvis
16,1,renal_pelvis
17,1,renal_pelvis
18,1,renal_pelvis
19,1,renal_pelvis
20,1,renal_pelvis
21,1,renal_pelvis
22,1,renal_pelvis
23,1,renal_pelvis
24,1,renal_pelvis
25,1,renal_pelvis
26,1,renal_pelvis
27,1,renal_pelvis
28,1,renal_pelvis
29,1,renal_pelvis
30,1,renal_pelvis
31,1,renal_pelvis
32,1,renal_pelvis
33,1,renal_pelvis
34,1,renal_pelvis
35,1,renal_pelvis
36,1,renal_pelvis
37,1,renal_pelvis
38,1,renal_pelvis
39,1,renal_pelvis
40,1,renal_pelvis
41,1,renal_pelvis
42,1,renal_pelvis
43,1,renal_pelvis
44,1,renal_pelvis
45,1,renal_pelvis
46,1,renal_pelvis
47,1,renal_pelvis
48,1,renal_pelvis
49,1,renal_pelvis
50,1,renal_pelvis
51,1,renal_pelvis
52,1,renal_pelvis
53,1,renal_pelvis
54,1,renal_pelvis
55,1,renal_pelvis
56,1,renal_pelvis
57,1,renal_pelvis
58,1,renal_pelvis
59,1,renal_pelvis
60,1,renal_pelvis
61,1,renal_pelvis
62,1,renal_pelvis
63,1,renal_pelvis
64,1,renal_pelvis
65,1,renal_pelvis
66,1,renal_pelvis
67,1,renal_pelvis
68,1,renal_pelvis
69,1,renal_pelvis
70,1,renal_pelvis
71,1,renal_pelvis
72,1,renal_pelvis
73,1,renal_pelvis
74,1,renal_pelvis
75,1,renal_pelvis
76,1,renal_pelvis
77,1,renal_pelvis
78,1,renal_pelvis
79,1,renal_pelvis
80,1,renal_pelvis
81,1,renal_pelvis
82,1,renal_pelvis
83,1,renal_pelvis
84,1,renal_pelvis
85,1,renal_pelvis
86,1,renal_pelvis
87,1,renal_pelvis
88,1,renal_pelvis
89,1,renal_pelvis
90,1,renal_pelvis
91,1,renal_pelvis
92,1,renal_pelvis
93,1,renal_pelvis
94,1,renal_pelvis
95,1,renal_pelvis
96,1,renal_pelvis
97,1,renal_pelvis
98,1,renal_pelvis
99,1,renal_pelvis
100,1,renal_pelvis
101,1,renal_pelvis
102,1,renal_pelvis
103,1,renal_pelvis
104,1,renal_pelvis
105,1,renal_pelvis
106,1,renal_pelvis
107,1,renal_pelvis
108,1,renal_pelvis
109,1,renal_pelvis
110,1,renal_pelvis
111,1,renal_pelvis
112,1,renal_pelvis
113,1,renal_pelvis
114,1,renal_pelvis
115,1,renal_pelvis
116,1,renal_pelvis
117,1,renal_pelvis
118,1,renal_pelvis
119,1,renal_pelvis
120,1,renal_pelvis
121,1,renal_pelvis
122,1,renal_pelvis
123,1,renal_pelvis
124,1,renal_pelvis
125,1,renal_pelvis
126,1,renal_pelvis
127,1,renal_pelvis
128,1,renal_pelvis
129,1,renal_pelvis
130,1,renal_pelvis
131,1,renal_pelvis
132,1,renal_pelvis
133,1,renal_pelvis
134,1,renal_pelvis
135,1,renal_pelvis
136,1,renal_pelvis
137,1,renal_pelvis
138,1,renal_pelvis
139,1,renal_pelvis
140,1,renal_pelvis
141,1,renal_pelvis
142,1,renal_pelvis
143,1,renal_pelvis
144,1,renal_pelvis
145,1,renal_pelvis
146,1,renal_pelvis
147,1,renal_pelvis
148,1,renal_pelvis
149,1,renal_pelvis
150,1,renal_pelvis
151,1,renal_pelvis
152,1,renal_pelvis
153,1,renal_pelvis
154,1,renal_pelvis
155,1,renal_pelvis
156,1,renal_pelvis
157,1,renal_pelvis
158,1,renal_pelvis
159,1,renal_pelvis
160,1,renal_pelvis
161,1,renal_pelvis
162,1,renal_pelvis
163,1,renal_pelvis
164,1,renal_pelvis
165,1,renal_pelvis
166,1,renal_pelvis
167,1,renal_pelvis
168,1,renal_pelvis
