point_index,x_mm,y_mm,z_mm,label_id,label
0,-4.038536286250425,3.7395328004839814,-76.8188367459354,2,ureter_stub
1,23.669626949969665,4.233759426287193,-30.229474149201017,12,calyx_lower_02
2,-7.1588839289479225,0.6892490158303082,-12.733514239133735,2,ureter_stub
3,33.30867483260271,3.253896173492865,-64.45910347648646,14,calyx_lower_04
4,-5.248646316176029,2.3508988134872033,-63.49035809571147,2,ureter_stub
5,8.069104984272284,-4.39145351274555,-0.8692435936876808,1,renal_pelvis
6,28.417276392415314,-1.3051215489850274,-43.44048350031163,13,calyx_lower_03
7,21.1361358432482,1.7400626693599202,-49.06191265154651,7,lower_pole_access
8,-4.688793070132866,4.941080323544405,4.552566988193037,1,renal_pelvis
9,25.6768143439386,4.181739423712448,-13.267641617589632,11,calyx_lower_01
10,22.014073636692213,1.7999992143754027,-51.06128624533778,7,lower_pole_access
11,-6.590928137820731,1.6072274882967332,-48.85025349956607,2,ureter_stub
12,16.86799076482942,0.21913068550505418,-32.93949494960553,7,lower_pole_access
13,-3.7556782734377543,5.351963320389124,-52.88777791358882,2,ureter_stub
14,-10.283884838597181,-0.16098111566614945,0.4861392101787658,1,renal_pelvis
15,-0.5533492435175719,0.4221774336745018,-88.64183496625478,2,ureter_stub
16,-3.306316198329999,3.333151595020315,-18.581872769014584,2,ureter_stub
17,8.478953997155402,3.818871237480943,2.4110745590943052,1,renal_pelvis
18,-1.881708196164319,-5.552070580583769,-4.926779124716814,1,renal_pelvis
19,27.41790262379587,8.576975292099235,3.6438896036264166,9,calyx_middle_01
20,10.743496118178037,-0.3007218716300754,-1.738801144795842,1,renal_pelvis
21,17.927820935054637,4.529613945843264,-38.697762684567515,7,lower_pole_access
22,28.547032583038273,1.1289455443211762,-57.657246166534186,14,calyx_lower_04
23,17.565323228592767,4.1730564563087675,2.787541453548496,9,calyx_middle_01
24,-0.5477058906540954,-5.404588273915502,-5.516733677030374,1,renal_pelvis
25,8.298224128554155,-0.8324531303172595,7.04004840944392,4,major_upper
26,6.451737439757998,4.9769816367122806,-2.72309553462362,1,renal_pelvis
27,21.409286927519847,3.0873354028743805,-49.52061118622719,7,lower_pole_access
28,2.6204831035195295,5.604425355198693,-4.4622494878335415,1,renal_pelvis
29,25.02181369339514,11.787460548923379,1.655600811001706,9,calyx_middle_01
30,23.43071852933934,1.8240818339411173,-44.499300531105035,7,lower_pole_access
31,-3.3127045757417326,4.208951871624115,-75.83603165542377,2,ureter_stub
32,27.963220220152483,3.4817195672475267,-14.651854564434506,11,calyx_lower_01
33,6.100246376004765,3.46786806738061,5.858611642252346,1,renal_pelvis
34,3.3271119354606737,-2.18233505195001,-8.655208540304391,1,renal_pelvis
35,-7.578739889639057,0.47754955952345474,-22.968962203313236,2,ureter_stub
36,32.8502968550439,-0.21752156411658397,-66.56042333055082,14,calyx_lower_04
37,-6.798564772978958,3.961464077218288,-26.490130717011574,2,ureter_stub
38,30.325657779445546,2.441016507615422,-60.749242180495784,14,calyx_lower_04
39,-9.507842983373504,2.1983190334830978,-2.305635713987531,1,renal_pelvis
40,15.68666023098517,4.212336587048574,3.072402162418796,9,calyx_middle_01
41,22.02924660590465,-9.866169589902068,1.044579022507806,10,calyx_middle_02
42,34.009165363627794,3.5189541181836077,-62.20832997665796,14,calyx_lower_04
43,19.147832359934554,2.042355832150794,21.741766140926657,8,calyx_upper_01
44,23.855828262625515,0.6291298198603961,-49.42992236037291,7,lower_pole_access
45,21.169096100168353,4.036597400590749,-45.88637246048374,7,lower_pole_access
46,20.009706342433315,7.4004924910544725,-0.13860491647239642,9,calyx_middle_01
47,27.85234094480917,9.938702041012661,4.22597627440439,9,calyx_middle_01
48,-1.3931695511050923,1.7098725425860828,-66.27111080267188,2,ureter_stub
49,5.517547065336048,5.630552988283062,-0.12752925278697602,1,renal_pelvis
50,-3.0653566322650314,5.661687742211651,3.7135938235860766,1,renal_pelvis
51,32.817976305302366,2.753698342935734,-65.17925987746214,14,calyx_lower_04
52,14.300754598023124,3.3214741092311937,3.1480985538973765,9,calyx_middle_01
53,1.8930062760644137,4.202720979036814,-8.039860433938951,6,major_lower
54,-7.527529555692108,2.818234356353879,-47.7013024298453,2,ureter_stub
55,18.639912023264518,7.638661577603665,0.9587729076195127,9,calyx_middle_01
56,9.031584456122419,-4.33165831793974,-0.2635306255412442,10,calyx_middle_02
57,12.477924230747593,1.4142521642083592,-17.445469247207217,7,lower_pole_access
58,-1.451014425295937,-3.7961273863421705,-8.113837454985786,1,renal_pelvis
59,17.478779637418963,0.7418573255730657,-31.82396991493638,7,lower_pole_access
60,23.624884468163554,3.6287383980050905,-46.820525856623746,7,lower_pole_access
61,16.87571297681024,4.163680892318772,-0.729084981371989,9,calyx_middle_01
62,15.774516166067324,-0.6635049381830541,21.647289857953766,8,calyx_upper_01
63,-3.708342163518019,1.643696836564276,-38.70593839174062,2,ureter_stub
64,19.725672492343413,4.064907760218854,-29.2405584318637,12,calyx_lower_02
65,13.136494088892375,0.5619982383283788,-29.405223639800102,7,lower_pole_access
66,-0.69725212863877,3.1961248076183137,-67.18171260481701,2,ureter_stub
67,12.677410403831997,2.421974516647621,-1.1888005977187683,9,calyx_middle_01
68,9.190224881617088,2.328213838082905,14.22385460718953,8,calyx_upper_01
69,2.3396167544214945,5.463380913934758,4.630536593584435,1,renal_pelvis
70,9.034958230386332,-1.447074419223,4.592994234394161,1,renal_pelvis
71,15.640518153869294,3.214141415296757,23.13760150519922,8,calyx_upper_01
72,-2.85244979818382,3.3355681774697548,-81.26266188118258,2,ureter_stub
73,21.04413300006541,0.26301130346082563,-43.89147724735264,7,lower_pole_access
74,7.690570149574691,0.6695421142591962,-19.315564605333744,7,lower_pole_access
75,4.417518163153383,-3.488945131478108,10.52304739601973,4,major_upper
76,22.732528376643582,7.042386325796941,-15.822351075884246,11,calyx_lower_01
77,36.53533465708116,-4.85734984588011,-46.4599907984162,13,calyx_lower_03
78,30.53443290633759,-1.9283737815134845,-45.09207696321146,13,calyx_lower_03
79,25.55683216713223,3.4365539670546528,-53.486817253899225,14,calyx_lower_04
80,-5.621253178324379,0.32474232811098414,-33.91218934717995,2,ureter_stub
81,5.852877449086091,4.682601280514334,-4.555716049371016,1,renal_pelvis
82,33.61869611206447,-4.577704308608274,-47.56287148192735,13,calyx_lower_03
83,9.721861447374279,3.117966824364441,-24.44202941215493,7,lower_pole_access
84,14.308339401719413,1.574368969452323,-22.21868524857348,7,lower_pole_access
85,23.683323554576777,4.832330271998933,-31.111738039733716,12,calyx_lower_02
86,-5.148802998261496,-1.4451543767664956,-95.01148690555165,2,ureter_stub
87,-3.655418087963103,1.8357843075684113,-42.27861623627972,2,ureter_stub
88,2.254170426250969,4.041539212559985,-8.589576736227208,6,major_lower
89,14.136455883390902,0.6185386464618415,-31.63893420144016,7,lower_pole_access
90,-3.2679307411642244,3.1922049121102827,-21.284193166487476,2,ureter_stub
91,8.954522758085963,3.2221134441602794,-22.733550287353847,7,lower_pole_access
92,-3.9064955015507046,1.4462936793786254,-40.57268061371665,2,ureter_stub
93,33.892319415135,-3.036840585853129,-47.27190127621754,13,calyx_lower_03
